artist,artist_id,album,album_id,album_release_date,disc_number,track_number,duration_ms,explicit,href,track_id,track_name,preview_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,1,486226,False,https://api.spotify.com/v1/tracks/3QbnMRadaXqmlghaglLAit,3QbnMRadaXqmlghaglLAit,End Of The Beginning,,8.23e-05,0.308,0.882,0.0939,0.0949,-4.039,123.859,0.168
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,2,532266,False,https://api.spotify.com/v1/tracks/3IKJNHnVZ2bXGjAFBJiUYo,3IKJNHnVZ2bXGjAFBJiUYo,God Is Dead?,,0.000192,0.385,0.712,0.0023,0.0594,-4.96,118.48,0.144
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,3,299933,False,https://api.spotify.com/v1/tracks/1PZ3DwxBYzuRYXt2fpomfY,1PZ3DwxBYzuRYXt2fpomfY,Loner,,0.00103,0.469,0.873,0.00716,0.245,-3.07,104.057,0.737
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,4,277786,False,https://api.spotify.com/v1/tracks/4HFRItYjNrcwT6Vbtbk2i4,4HFRItYjNrcwT6Vbtbk2i4,Zeitgeist,,0.796,0.481,0.263,0.0378,0.379,-12.749,112.131,0.184
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,5,421066,False,https://api.spotify.com/v1/tracks/0BfFxZfRGcf6FOCpZ75tr0,0BfFxZfRGcf6FOCpZ75tr0,Age Of Reason,,8.93e-05,0.314,0.827,0.291,0.152,-4.021,127.071,0.398
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,6,286506,False,https://api.spotify.com/v1/tracks/21t1bdwV3pEawdK9OhsauX,21t1bdwV3pEawdK9OhsauX,Live Forever,,7.07e-06,0.34,0.891,0.0101,0.26,-3.502,127.253,0.572
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,7,471666,False,https://api.spotify.com/v1/tracks/3gY381aWseWtDcnanY9n6u,3gY381aWseWtDcnanY9n6u,Damaged Soul,,0.00515,0.324,0.744,0.534,0.0893,-4.842,135.13,0.368
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,8,440173,False,https://api.spotify.com/v1/tracks/3zjDIbQ3lLWXekq1PBVYM9,3zjDIbQ3lLWXekq1PBVYM9,Dear Father,,0.00172,0.416,0.943,0.00241,0.26,-4.313,140.017,0.331
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,9,358213,False,https://api.spotify.com/v1/tracks/0Gnx4WTUEUxA6WBETrp3yJ,0Gnx4WTUEUxA6WBETrp3yJ,Methademic,,6.22e-05,0.411,0.962,0.0197,0.105,-3.695,77.005,0.214
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,13,5WXL9YjbNd4GIqWc9mZOOq,2013-01-01,1,10,220760,False,https://api.spotify.com/v1/tracks/3I28TfbHcWVhCKxmCIhs9F,3I28TfbHcWVhCKxmCIhs9F,Peace Of Mind,,0.00308,0.338,0.813,0.00262,0.116,-3.994,133.236,0.476
